AvgOvRank,Player,Tm,FantPos,2023Age,2023G,2023GS,2023Cmp,2023Att,PassYds,2023PassTD,2023Int,2023RushAtt,2023RushYds,2023RushTD,2023Tgt,2023Rec,2023RecYds,2023RecTD,2023FL,2023TD,2023PPR,2023PosRank,2023OvRank,2024Age,2024G,2024GS,2024Cmp,2024Att,2024PassYds,2024PassTD,2024Int,2024RushAtt,2024RushYds,2024RushTD,2024Rec,2024RecYds,2024RecTD,2024FL,2024TD,2024PPR,AVGPPR,2024PosRank,AvgOvRank
1,Josh Allen,BUF,QB,27,17,17,385,579,4306,29,18,111,524,15,0,0,0,0,4,15,392.6,1,2,28,17,17,368,565,"4,060",28,14,109,559,9,0,0,0,4,37,360,377,1,1
2,Christian McCaffrey,SFO,RB,27,16,16,0,0,0,0,0,272,1459,14,83,67,564,7,2,21,391.3,1,3,28,17,17,0,0,0,0,0,273,"1,290",12,70,568,5,2,16,351,371,1,2
3,CeeDee Lamb,DAL,WR,24,17,17,0,0,0,0,0,14,113,2,181,135,1749,12,2,14,403.2,1,1,25,17,17,0,0,0,0,0,10,68,1,116,"1,488",10,1,11,333,368,1,3
4,Jalen Hurts,PHI,QB,25,17,17,352,538,3858,23,15,157,605,15,0,0,0,0,5,15,356.8,2,5,26,17,17,340,520,"3,810",24,12,145,624,11,0,0,0,4,36,360,359,2,4
5,Tyreek Hill,MIA,WR,29,16,16,0,0,0,0,0,6,15,0,171,119,1799,13,1,13,376.4,2,4,30,17,17,0,0,0,0,0,5,31,0,110,"1,542",10,1,10,325,351,2,5
6,Lamar Jackson,BAL,QB,26,16,16,307,457,3678,24,7,148,821,5,0,0,0,0,6,5,331.2,4,7,27,17,17,304,464,"3,567",25,11,146,836,5,0,0,0,4,30,339,335,3,6
7,Dak Prescott,DAL,QB,30,17,17,410,590,4516,36,9,55,242,2,0,0,0,0,2,2,342.8,3,6,31,17,17,386,574,"4,192",31,12,52,221,2,0,0,0,3,33,308,325,6,7
8,Amon-Ra St. Brown,DET,WR,24,16,16,0,0,0,0,0,4,24,0,164,119,1515,10,1,10,330.9,3,8,25,17,17,0,0,0,0,0,5,31,1,111,"1,354",8,1,9,297,314,3,8
9,Patrick Mahomes II,KAN,QB,28,16,16,401,597,4183,27,14,75,389,0,0,0,0,0,3,0,280.2,8,18,29,17,17,392,585,"4,371",33,11,72,376,2,0,0,0,3,35,337,308,4,9
10,Jordan Love,GNB,QB,25,17,17,372,579,4159,32,11,50,247,4,0,0,0,0,3,4,319.1,5,9,26,17,17,355,546,"3,989",29,12,46,200,2,0,0,0,3,32,294,307,10,10
11,Joe Burrow,CIN,QB,27,10,10,244,365,2309,15,6,31,88,0,0,0,0,0,1,0,147.2,25,119,28,17,17,389,581,"4,242",30,12,57,191,2,0,0,0,3,32,305,305,8,11
12,Kyler Murray,ARI,QB,26,8,8,176,268,1799,10,5,44,244,3,0,0,0,0,0,3,146.4,26,120,27,17,17,354,530,"3,706",22,12,96,531,5,0,0,0,3,27,302,302,9,12
13,Breece Hall,NYJ,RB,22,17,16,0,0,0,0,0,223,994,5,95,76,591,4,0,9,290.5,2,12,23,17,17,0,0,0,0,0,249,"1,129",8,67,529,4,1,12,301,296,2,13
14,Brock Purdy,SFO,QB,24,16,16,308,444,4280,31,11,39,144,2,0,0,0,0,2,2,295.6,6,11,25,17,17,336,498,"4,076",30,11,44,160,2,0,0,0,3,32,293,294,11,14
15,C.J. Stroud,HOU,QB,22,15,15,319,499,4108,23,5,39,167,3,1,1,0,0,4,3,276,9,20,23,17,17,363,557,"4,336",29,10,44,184,2,0,0,0,4,32,306,291,7,15
16,Jayden Daniels,WAS,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,17,340,545,"3,583",20,14,114,592,5,0,0,0,4,25,290,290,12,16
17,Caleb Williams,CHI,QB,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,17,346,532,"3,781",25,13,78,361,3,0,0,0,4,29,286,286,13,17
18,Puka Nacua,LAR,WR,22,17,17,0,0,0,0,0,12,89,0,160,105,1486,6,0,6,298.5,4,10,23,17,17,0,0,0,0,0,9,55,0,95,"1,297",7,1,7,273,286,7,18
19,Jared Goff,DET,QB,29,17,17,407,605,4575,30,12,32,21,2,0,0,0,0,4,2,289.1,7,14,30,17,17,384,569,"4,231",28,11,25,56,1,0,0,0,3,29,277,283,17,19
20,A.J. Brown,PHI,WR,26,17,17,0,0,0,0,0,0,0,0,158,106,1456,7,2,7,289.6,5,13,27,17,17,0,0,0,0,0,0,1,0,94,"1,329",8,1,8,274,282,6,20
21,Ja'Marr Chase,CIN,WR,23,16,16,1,1,-7,0,0,3,-6,0,145,100,1216,7,0,7,262.7,11,28,24,17,17,0,0,0,0,0,3,13,0,107,"1,358",9,1,9,297,280,4,21
22,Anthony Richardson,IND,QB,21,4,4,50,84,577,3,1,25,136,4,0,0,0,0,1,4,72.7,38,216,22,17,17,326,512,"3,504",20,11,128,646,8,0,0,0,5,28,310,280,5,22
23,Trevor Lawrence,JAX,QB,24,16,16,370,564,4016,21,14,70,339,4,0,0,0,0,7,4,262.5,12,29,25,17,17,373,566,"3,984",24,13,66,306,4,0,0,0,5,28,286,274,14,23
24,Tua Tagovailoa,MIA,QB,25,17,17,388,560,4624,29,14,35,74,0,0,0,0,0,5,0,270.4,11,23,26,17,17,371,545,"4,270",27,13,32,89,1,0,0,0,4,28,273,271,18,24
25,Bijan Robinson,ATL,RB,21,17,16,0,0,0,0,0,214,976,4,86,58,487,4,3,8,246.3,9,37,22,17,17,0,0,0,0,0,244,"1,113",7,66,535,4,2,12,296,271,3,25
26,Baker Mayfield,TAM,QB,28,17,17,364,566,4044,28,10,62,163,1,0,0,0,0,3,1,274.1,10,21,29,17,17,355,562,"3,941",26,12,52,171,2,0,0,0,3,27,268,271,20,26
27,Travis Etienne Jr.,JAC,RB,24,17,17,0,0,0,0,0,267,1008,11,73,58,476,1,0,12,282.4,3,17,34,17,17,0,0,0,0,0,250,"1,025",8,46,358,1,1,9,238,260,9,27
28,Mike Evans,TAM,WR,30,17,17,0,0,0,0,0,0,0,0,136,79,1255,13,0,13,282.5,7,16,31,17,17,0,0,0,0,0,0,1,0,76,"1,120",8,1,8,237,260,14,28
29,Jonathan Taylor,IND,RB,24,10,7,0,0,0,0,0,169,741,7,23,19,153,1,0,8,156.4,33,108,25,17,17,0,0,0,0,0,283,"1,270",10,37,279,2,1,12,259,259,5,29
30,Justin Herbert,LAC,QB,25,13,13,297,456,3134,20,7,52,228,3,1,1,10,0,1,3,234.2,17,43,26,17,17,356,544,"3,847",25,10,65,263,3,0,0,0,3,27,278,256,15,30
31,Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,0,0,175,103,1144,8,0,8,265.4,10,27,32,17,17,0,0,0,0,0,0,1,0,93,"1,130",7,1,7,244,255,11,31
32,Matthew Stafford,LAR,QB,35,15,15,326,521,3965,24,11,21,65,0,0,0,0,0,0,0,243.1,15,39,36,17,17,355,553,"4,126",27,13,23,66,1,0,0,0,2,27,266,254,21,32
33,D.J. Moore,CHI,WR,26,17,17,0,0,0,0,0,4,21,1,136,96,1364,8,1,9,286.5,6,15,27,17,17,0,0,0,0,0,2,15,0,76,"1,037",7,1,7,222,254,23,33
34,Rachaad White,TAM,RB,24,17,17,0,0,0,0,0,272,990,6,70,64,549,3,2,9,267.9,4,24,25,17,17,0,0,0,0,0,239,925,7,54,403,2,2,9,237,252,10,34
35,Kyren Williams,LAR,RB,23,12,11,0,0,0,0,0,228,1144,12,48,32,206,3,2,15,255,7,33,24,17,17,0,0,0,0,0,255,"1,148",10,36,259,2,2,12,246,251,7,35
36,Stefon Diggs,BUF,WR,30,17,17,0,0,0,0,0,1,5,0,160,107,1183,8,1,8,273.8,9,22,31,17,17,0,0,0,0,0,2,9,0,85,"1,029",7,1,7,227,250,22,36
37,Nico Collins,HOU,WR,24,15,10,0,0,0,0,0,1,7,0,109,80,1297,8,0,8,260.4,12,30,25,17,17,0,0,0,0,0,1,9,0,78,"1,149",7,1,7,238,249,13,37
38,Will Levis,TEN,QB,24,9,9,149,255,1808,8,4,25,57,1,0,0,0,0,4,1,102,32,171,25,17,17,322,513,"3,715",22,13,54,186,2,0,0,0,4,24,248,248,23,38
39,Justin Jefferson,MIN,WR,24,10,9,0,1,0,0,0,1,-12,0,100,68,1074,5,1,5,202.2,33,74,25,17,17,0,0,0,0,0,1,4,0,105,"1,441",7,1,7,292,247,5,39
40,Daniel Jones,NYG,QB,26,6,6,108,160,909,2,6,40,206,1,0,0,0,0,1,1,57,44,252,27,17,17,323,494,"3,225",17,11,95,469,4,0,0,0,4,20,246,246,24,40
41,Joe Mixon,CIN,RB,27,17,17,0,0,0,0,0,257,1034,9,64,52,376,3,0,12,267,6,26,28,17,17,0,0,0,0,0,247,969,8,40,304,2,1,10,224,246,16,41
42,Jahmyr Gibbs,DET,RB,21,15,3,0,0,0,0,0,182,945,10,71,52,316,1,1,11,242.1,10,40,22,17,17,0,0,0,0,0,203,941,8,55,390,2,1,11,249,245,6,42
43,Saquon Barkley,NYG,RB,26,14,14,0,0,0,0,0,247,962,6,60,41,280,4,2,10,223.2,13,56,27,17,17,0,0,0,0,0,269,"1,138",9,48,347,3,2,12,266,245,4,43
44,Marvin Harrison Jr.,ARI,WR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,17,0,0,0,0,0,1,4,0,88,"1,178",7,2,7,244,244,10,44
45,Geno Smith,SEA,QB,33,15,15,323,499,3624,20,9,37,155,1,1,1,-2,0,3,1,227.3,19,52,34,17,17,343,523,"3,755",24,12,51,204,2,0,0,0,3,26,259,243,22,45
46,Derek Carr,NOR,QB,32,17,17,375,548,3878,25,8,32,40,0,0,0,0,0,3,0,241.1,16,41,33,17,17,364,545,"3,844",25,11,25,71,1,0,0,0,3,25,245,243,25,46
47,Michael Pittman Jr.,IND,WR,26,16,15,0,0,0,0,0,0,0,0,156,109,1152,4,1,4,250.2,13,34,27,17,17,0,0,0,0,0,0,3,0,97,"1,062",5,1,5,231,241,17,47
48,Derrick Henry,TEN,RB,29,17,17,2,3,14,2,0,280,1167,12,36,28,214,0,0,12,246.7,8,36,30,17,17,0,0,0,0,0,267,"1,194",11,24,196,1,1,12,234,240,13,48
49,Chris Olave,NOR,WR,23,16,11,0,0,0,0,0,0,0,0,138,87,1123,5,0,5,231.3,16,46,24,17,17,0,0,0,0,0,0,1,0,90,"1,205",7,1,7,248,240,9,49
50,Keenan Allen,LAC,WR,31,13,13,1,2,49,1,0,2,6,0,150,108,1243,7,1,7,278.9,8,19,32,17,17,0,0,0,0,0,1,6,0,79,890,6,1,6,201,240,35,50
51,Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,0,0,105,75,1342,7,1,7,249.2,14,35,26,17,17,0,0,0,0,0,1,4,0,74,"1,117",7,1,7,227,238,21,51
52,Garrett Wilson,NYJ,WR,23,17,17,0,1,0,0,0,4,0,0,168,95,1042,3,2,3,213.2,26,64,24,17,17,0,0,0,0,0,4,19,0,95,"1,188",8,1,8,263,238,8,52
53,Russell Wilson,DEN,QB,35,15,15,297,447,3070,26,8,80,341,3,0,0,0,0,5,3,256.9,14,32,36,15,15,274,431,"2,942",18,9,64,299,2,0,0,0,4,20,218,237,27,53
54,Deebo Samuel,SFO,WR,27,15,15,0,1,0,0,0,37,225,5,89,60,892,7,0,12,243.7,15,38,28,17,17,0,0,0,0,0,34,199,0,67,926,6,1,6,231,237,18,54
55,Alvin Kamara,NOR,RB,28,13,12,0,0,0,0,0,180,694,5,86,75,466,1,0,6,233,11,44,29,17,17,0,0,0,0,0,203,798,5,68,481,2,1,8,239,236,8,55
56,James Cook,BUF,RB,24,17,13,0,0,0,0,0,237,1122,2,54,44,445,4,2,6,232.7,12,45,25,17,17,0,0,0,0,0,237,"1,053",5,45,384,3,1,8,234,234,12,56
57,DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,0,0,112,81,1066,7,1,7,227.6,19,51,26,17,17,0,0,0,0,0,0,1,0,85,"1,082",7,1,7,234,231,16,57
