Player,FantPos_x,Predicted Fantasy Points,2024AVGPPR
Christian McCaffrey,,260.345,371.0
Breece Hall,RB,280.91,296.0
Bijan Robinson,RB,270.89,271.0
Saquon Barkley,,243.835,245.0
Jonathan Taylor,RB,230.55,259.0
Jahmyr Gibbs,RB,241.245,245.0
Kyren Williams,RB,239.09,251.0
Alvin Kamara,,228.635,236.0
Travis Etienne Jr.,,247.69,260.0
Rachaad White,,244.85,252.0
Isiah Pacheco,,227.2,225.0
James Cook,RB,232.065,234.0
Derrick Henry,,204.73,240.0
De'Von Achane,RB,221.85,210.0
Josh Jacobs,,216.415,203.0
Joe Mixon,,234.415,246.0
Kenneth Walker III,RB,209.525,205.0
Aaron Jones,,178.715,169.0
Rhamondre Stevenson,,188.425,171.0
Zaire White,,181.94,171.0
David Montgomery,RB,192.185,199.0
James Conner,RB,198.405,196.0
Najee Harris,RB,198.47,192.0
Jaylen Warren,RB,183.395,189.0
Javonte Williams,RB,182.285,180.0
D'Andre Swift,,185.28,190.0
Raheem Mostert,RB,209.135,224.0
Tony Pollard,,190.425,199.0
Devin Singletary,,178.92,169.0
Brian Robinson Jr.,RB,183.875,184.0
Austin Ekeler,,172.875,177.0
Tyjae Spears,RB,158.185,161.0
Zack Moss,,171.425,167.0
Chase Brown,RB,172.37,108.0
Ezekiel Elliott,,168.54,166.0
Gus Edwards,,165.85,168.0
Nick Chubb,,142.1,144.0
Jonathon Brooks,,146.49,140.0
Jerome Ford,RB,166.115,176.0
J.K. Dobbins,,131.77,128.0
Antonio Gibson,,129.41,128.0
Zach Charbonnet,RB,124.54,116.0
Ty Chandler,RB,119.075,112.0
Chuba Hubbard,RB,149.37,153.0
Tyler Allgeier,RB,128.07,130.0
Rico Dowdle,RB,131.49,107.0
Blake Corum,,115.895,115.0
Jaleel McLaughlin,RB,110.795,110.0
Trey Benson,,113.795,112.0
Khalil Herbert,RB,114.44,112.0
MarShawn Lloyd,,78.815,93.0
Kendre Miller,,71.955,67.0
Alexander Mattison,,104.215,110.0
Ray Davis,,76.74,86.0
Clyde Edwards-Helaire,,76.665,77.0
Bucky Irving,,77.82,80.0
Braelon Allen,,76.68,79.0
Jamaal Williams,,70.985,70.0
Tyrone Tracy Jr.,,77.545,78.0
Miles Sanders,RB,80.135,81.0
Elijah Mitchell,,64.295,60.0
Roschon Johnson,RB,81.56,85.0
Dameon Pierce,RB,73.025,74.0
Tank Bigsby,,65.875,64.0
Kenneth Gainwell,RB,78.715,81.0
Jaylen Wright,,71.695,64.0
D'Onta Foreman,,73.635,77.0
Samaje Perine,RB,58.965,92.0
Keaton Mitchell,RB,68.495,65.0
Justice Hill,RB,74.46,84.0
AJ Dillon,,71.725,88.0
Kimani Vidal,,57.59,57.0
Chase Edmonds,,51.605,45.0
Emari Demercado,RB,58.99,61.0
Carson Steele,,52.25,49.0
Audric Estime,,55.56,49.0
CeeDee Lamb,WR,319.495,368.0
Tyreek Hill,WR,329.185,351.0
Ja'Marr Chase,WR,270.665,280.0
Amon-Ra St. Brown,WR,303.035,314.0
Justin Jefferson,WR,244.215,247.0
A.J. Brown,WR,272.985,282.0
Puka Nacua,WR,271.025,286.0
Garrett Wilson,WR,247.95,238.0
Chris Olave,,234.16,240.0
Marvin Harrison Jr.,,236.35,244.0
Davante Adams,,248.16,255.0
Drake London,WR,220.555,209.0
Nico Collins,WR,217.24,249.0
Mike Evans,,250.86,260.0
Cooper Kupp,WR,223.765,218.0
